open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2019-09-23 00:00:00+00:00,209.55,209.55,209.55,209.55,0.01,2019-09-23 23:59:59.999000+00:00,2.0955,1,0.0,0.0,0
2019-09-24 00:00:00+00:00,195.5,195.5,152.56,167.09,2224.36708,2019-09-24 23:59:59.999000+00:00,372216.5767221,1162,999.08192,167999.0887119,0
2019-09-25 00:00:00+00:00,166.84,174.15,163.18,170.0,181.60286,2019-09-25 23:59:59.999000+00:00,30484.9949057,245,91.52286,15340.045599,0
2019-09-26 00:00:00+00:00,169.95,170.77,153.07,166.69,545.4535,2019-09-26 23:59:59.999000+00:00,90698.2842063,462,310.10175,51803.025613,0
2019-09-27 00:00:00+00:00,166.34,175.54,161.44,173.69,630.91688,2019-09-27 23:59:59.999000+00:00,105790.2890298,580,301.33343,50521.5921675,0
2019-09-28 00:00:00+00:00,174.14,175.05,168.43,172.84,158.67273,2019-09-28 23:59:59.999000+00:00,27525.1022427,284,61.05383,10575.8911838,0
2019-09-29 00:00:00+00:00,173.92,173.92,165.02,169.46,1365.66487,2019-09-29 23:59:59.999000+00:00,231069.770473,544,662.2147,111991.8956043,0
2019-09-30 00:00:00+00:00,169.4,181.08,165.61,180.64,1462.69491,2019-09-30 23:59:59.999000+00:00,253974.850094,1403,765.29173,133530.2734963,0
2019-10-01 00:00:00+00:00,180.43,185.59,173.45,175.66,1145.93635,2019-10-01 23:59:59.999000+00:00,205668.7274975,1672,701.53943,125575.403063,0
2019-10-02 00:00:00+00:00,175.83,181.01,173.91,180.44,429.18857,2019-10-02 23:59:59.999000+00:00,75750.8297251,718,247.99349,43755.7748248,0
2019-10-03 00:00:00+00:00,180.58,180.58,169.99,174.61,663.66412,2019-10-03 23:59:59.999000+00:00,116155.0341209,861,295.25433,51550.7687014,0
2019-10-04 00:00:00+00:00,174.91,178.94,170.93,175.72,639.72813,2019-10-04 23:59:59.999000+00:00,111926.6934191,836,358.66442,62683.0844703,0
2019-10-05 00:00:00+00:00,175.01,176.66,172.33,176.04,444.76459,2019-10-05 23:59:59.999000+00:00,77860.9913743,635,226.6365,39639.1956913,0
2019-10-06 00:00:00+00:00,176.25,176.63,167.97,170.19,432.94126,2019-10-06 23:59:59.999000+00:00,74953.5698247,905,232.92655,40382.0870998,0
2019-10-07 00:00:00+00:00,170.07,181.87,168.88,179.94,663.15443,2019-10-07 23:59:59.999000+00:00,118414.570577,983,364.86539,65132.2712426,0
2019-10-08 00:00:00+00:00,180.89,184.56,177.43,180.71,470.50028,2019-10-08 23:59:59.999000+00:00,84926.5624296,699,280.40638,50663.527408,0
2019-10-09 00:00:00+00:00,180.56,195.43,179.44,192.81,1125.24298,2019-10-09 23:59:59.999000+00:00,212134.294851,993,587.03156,110814.0942038,0
2019-10-10 00:00:00+00:00,192.82,194.18,187.03,191.12,643.14385,2019-10-10 23:59:59.999000+00:00,122874.8189482,865,286.58288,54841.5351572,0
2019-10-11 00:00:00+00:00,191.58,196.42,179.64,180.58,2733.21683,2019-10-11 23:59:59.999000+00:00,506572.7293089,3976,1147.01382,212990.4559715,0
2019-10-12 00:00:00+00:00,180.61,184.57,178.0,179.73,1852.2789,2019-10-12 23:59:59.999000+00:00,337639.536959,3478,899.27405,163817.5846301,0
2019-10-13 00:00:00+00:00,179.32,184.37,178.55,181.05,2183.279,2019-10-13 23:59:59.999000+00:00,397040.6038966,3660,1032.11647,187637.2778067,0
2019-10-14 00:00:00+00:00,180.8,187.47,180.49,186.73,2057.30732,2019-10-14 23:59:59.999000+00:00,378876.6419874,3072,1035.4001,190379.1337669,0
2019-10-15 00:00:00+00:00,186.76,188.31,177.88,180.64,2603.38186,2019-10-15 23:59:59.999000+00:00,476034.1697219,5230,1273.29127,232843.0426135,0
2019-10-16 00:00:00+00:00,180.48,181.15,172.29,174.56,2788.06167,2019-10-16 23:59:59.999000+00:00,489583.6498117,5361,1306.82114,229705.9871226,0
2019-10-17 00:00:00+00:00,174.56,178.87,172.67,177.14,2420.30849,2019-10-17 23:59:59.999000+00:00,425744.1081394,4365,1365.34298,240350.8196952,0
2019-10-18 00:00:00+00:00,177.3,177.37,168.64,172.79,2128.54381,2019-10-18 23:59:59.999000+00:00,368508.0628528,4867,1208.07803,209141.918466,0
2019-10-19 00:00:00+00:00,172.84,174.85,169.94,171.58,1777.62676,2019-10-19 23:59:59.999000+00:00,306573.8503893,2964,948.36212,163570.6156117,0
2019-10-20 00:00:00+00:00,171.86,176.39,169.38,175.15,1467.63899,2019-10-20 23:59:59.999000+00:00,253427.088778,2098,751.10749,129620.7208933,0
2019-10-21 00:00:00+00:00,174.95,177.9,171.63,174.04,1628.36338,2019-10-21 23:59:59.999000+00:00,283438.88444,2456,883.22634,153648.5865817,0
2019-10-22 00:00:00+00:00,173.9,174.94,170.28,171.28,2108.43858,2019-10-22 23:59:59.999000+00:00,364850.9649848,3084,1123.24164,194287.0674419,0
2019-10-23 00:00:00+00:00,171.06,171.35,153.44,162.14,5100.69619,2019-10-23 23:59:59.999000+00:00,827138.7241269,7487,3068.74481,497427.5056545,0
2019-10-24 00:00:00+00:00,162.32,163.05,158.8,160.33,6688.389,2019-10-24 23:59:59.999000+00:00,1079193.6242155,8334,4683.58377,756281.8615923,0
2019-10-25 00:00:00+00:00,160.29,187.37,160.29,181.37,3933.76907,2019-10-25 23:59:59.999000+00:00,670694.5398882,5271,2229.44623,379754.9894769,0
2019-10-26 00:00:00+00:00,181.42,196.98,174.0,179.47,6012.15421,2019-10-26 23:59:59.999000+00:00,1098740.3296516,8346,3235.09454,592775.967734,0
2019-10-27 00:00:00+00:00,179.57,188.52,176.24,183.88,5245.64149,2019-10-27 23:59:59.999000+00:00,956940.2383983,6947,3299.38833,600572.4053437,0
2019-10-28 00:00:00+00:00,183.68,189.43,180.36,181.51,2860.96538,2019-10-28 23:59:59.999000+00:00,527899.6868988,4557,1499.42782,275621.7321944,0
2019-10-29 00:00:00+00:00,181.65,192.72,181.34,190.52,2958.42192,2019-10-29 23:59:59.999000+00:00,550667.8064146,4118,1837.14383,341925.5721127,0
