date,open,high,low,close,volume,SP500,GOLD,DXY
2017-01-01,8.018,8.891,7.97,8.154,854000.05,,,
2017-01-02,8.154,8.568,7.964,8.317,859902.07,,,
2017-01-03,8.335,9.94,8.185,9.595,571218.0,2257.830078125,1160.4000244140625,103.20999908447266
2017-01-04,9.639,11.5,10.24,11.0,2063444.32,2270.75,1163.800048828125,102.69999694824219
2017-01-05,11.0,10.37,9.151,10.12,2134380.99,2269.0,1179.699951171875,101.5199966430664
2017-01-06,10.12,10.32,8.924,10.1,1907155.78,2276.97998046875,1171.9000244140625,102.22000122070312
2017-01-07,10.1,10.54,9.146,9.733,1311665.58,,,
2017-01-08,9.733,10.35,9.486,10.17,768727.38,,,
2017-01-09,10.17,11.0,9.952,10.27,1476745.18,2268.89990234375,1183.5,101.93000030517578
2017-01-10,10.27,10.76,10.15,10.5,617898.5,2268.89990234375,1184.199951171875,102.01000213623047
2017-01-11,10.5,9.857,8.985,9.629,1304979.51,2275.320068359375,1195.5999755859375,101.77999877929688
2017-01-12,9.629,10.24,9.64,9.713,759656.39,2270.43994140625,1198.9000244140625,101.3499984741211
2017-01-13,9.713,10.08,9.461,9.651,639017.17,2274.639892578125,1195.300048828125,101.18000030517578
2017-01-14,9.651,9.827,9.385,9.721,344518.25,,,
2017-01-15,9.721,9.928,9.657,9.797,231255.8,,,
2017-01-16,9.797,9.878,9.432,9.556,404521.1,,,
2017-01-17,9.556,10.69,9.923,10.09,921452.98,2267.889892578125,1212.0,100.33000183105469
2017-01-18,10.09,10.27,9.784,10.1,464385.45,2271.889892578125,1211.300048828125,100.93000030517578
2017-01-19,10.1,10.42,10.12,10.37,349995.77,2263.68994140625,1200.9000244140625,101.1500015258789
2017-01-20,10.37,10.81,10.3,10.57,475947.25,2271.31005859375,1204.300048828125,100.73999786376953
2017-01-21,10.57,11.05,10.42,10.9,508335.8,,,
2017-01-22,10.91,11.01,10.6,10.71,133890.8,,,
2017-01-23,10.69,10.85,10.61,10.74,264525.98,2265.199951171875,1215.0,100.16000366210938
2017-01-24,10.74,10.64,10.37,10.54,263752.27,2280.070068359375,1210.300048828125,100.3499984741211
2017-01-25,10.54,10.69,10.42,10.46,256054.77,2298.3701171875,1197.300048828125,100.02999877929688
2017-01-26,10.46,10.76,10.44,10.63,393893.24,2296.679931640625,1189.5,100.37999725341797
2017-01-27,10.63,10.67,10.38,10.47,284075.32,2294.68994140625,1188.0999755859375,100.52999877929688
2017-01-28,10.47,10.63,10.36,10.55,207707.08,,,
2017-01-29,10.55,10.53,10.34,10.44,112774.17,,,
2017-01-30,10.47,10.77,10.42,10.62,129400.76,2280.89990234375,1193.199951171875,100.43000030517578
2017-01-31,10.56,11.12,10.62,10.66,495706.12,2278.8701171875,1208.5999755859375,99.51000213623047
2017-02-01,10.66,11.0,10.49,10.65,575689.48,2279.550048828125,1205.5999755859375,99.63999938964844
2017-02-02,10.71,10.92,10.57,10.78,253645.4,2280.85009765625,1216.699951171875,99.8499984741211
2017-02-03,10.78,10.95,10.55,10.95,238476.61,2297.419921875,1218.5,99.87000274658203
2017-02-04,10.95,11.4,10.88,11.32,223661.5,,,
2017-02-05,11.32,11.32,11.07,11.25,163064.37,,,
2017-02-06,11.25,11.38,11.13,11.29,177265.68,2292.56005859375,1230.0,99.91000366210938
2017-02-07,11.32,11.55,11.26,11.45,129780.16,2293.080078125,1234.199951171875,100.26000213623047
2017-02-08,11.45,11.6,11.11,11.39,162470.22,2294.669921875,1237.5999755859375,100.27999877929688
2017-02-09,11.36,11.08,10.38,10.89,779982.39,2307.8701171875,1235.0999755859375,100.6500015258789
2017-02-10,10.89,11.55,11.02,11.3,441555.44,2316.10009765625,1234.4000244140625,100.80000305175781
2017-02-11,11.3,11.57,11.23,11.38,245275.11,,,
2017-02-12,11.38,11.36,11.17,11.34,176127.08,,,
2017-02-13,11.34,11.42,11.15,11.3,218881.96,2328.25,1224.4000244140625,100.95999908447266
2017-02-14,11.39,14.05,11.32,13.0,694347.97,2337.580078125,1223.9000244140625,101.25
2017-02-15,13.0,13.68,12.63,12.97,310263.53,2349.25,1231.699951171875,101.18000030517578
2017-02-16,12.97,13.06,12.64,12.95,2035678.87,2347.219970703125,1240.0,100.44000244140625
2017-02-17,12.78,13.03,12.48,12.66,366856.3,2351.159912109375,1237.5999755859375,100.94999694824219
2017-02-18,12.66,12.8,12.5,12.77,272927.0,,,
2017-02-19,12.77,12.86,12.62,12.74,208490.26,,,
2017-02-20,12.74,13.35,12.09,12.23,480208.56,,,
2017-02-21,12.23,13.12,12.52,12.67,529445.34,2365.3798828125,1237.5,101.37000274658203
2017-02-22,12.67,12.96,12.39,12.57,332890.48,2362.820068359375,1232.0,101.33000183105469
2017-02-23,12.69,13.3,12.64,13.13,221592.54,2363.81005859375,1250.199951171875,101.05000305175781
2017-02-24,13.13,13.29,12.72,13.11,265438.72,2367.340087890625,1256.9000244140625,101.08999633789062
2017-02-25,13.01,13.77,12.59,13.51,590751.25,,,
2017-02-26,13.57,14.65,13.37,14.59,328409.76,,,
2017-02-27,14.59,16.09,14.3,15.55,551363.78,2369.75,1257.4000244140625,101.12999725341797
2017-02-28,15.55,16.75,15.19,16.07,1253508.43,2363.639892578125,1252.5999755859375,101.12000274658203
2017-03-01,16.07,17.65,15.68,17.55,844865.11,2395.9599609375,1248.9000244140625,101.77999877929688
2017-03-02,17.55,19.64,16.58,19.08,1091778.86,2381.919921875,1231.9000244140625,102.19999694824219
2017-03-03,19.08,21.06,17.81,19.48,1228424.54,2383.1201171875,1225.5,101.54000091552734
2017-03-04,19.48,20.19,18.56,18.61,383765.3,,,
2017-03-05,18.61,19.4,18.1,19.22,307796.26,,,
2017-03-06,19.22,20.3,19.0,19.75,516776.0,2375.31005859375,1224.5,101.63999938964844
2017-03-07,19.75,19.81,18.52,18.91,581719.83,2368.389892578125,1215.0999755859375,101.80999755859375
2017-03-08,18.91,18.93,16.51,16.54,744408.07,2362.97998046875,1208.5,102.06999969482422
2017-03-09,16.54,18.13,15.94,17.71,532796.89,2364.8701171875,1202.4000244140625,101.8499984741211
2017-03-10,17.71,19.68,16.57,19.13,1365580.33,2372.60009765625,1200.699951171875,101.25
2017-03-11,19.13,21.64,18.72,21.45,808945.16,,,
2017-03-12,21.45,23.81,21.2,23.31,810416.18,,,
2017-03-13,23.31,31.04,23.3,28.45,2259579.53,2373.469970703125,1202.4000244140625,101.37999725341797
2017-03-14,28.45,29.88,26.91,28.58,727787.41,2365.449951171875,1201.9000244140625,101.69999694824219
2017-03-15,28.58,35.32,28.31,35.18,1312919.91,2385.260009765625,1200.0999755859375,100.73999786376953
2017-03-16,35.18,46.55,34.76,45.51,2726645.09,2381.3798828125,1226.5,100.2699966430664
2017-03-17,45.51,54.88,34.55,44.48,2813509.21,2378.25,1229.800048828125,100.30000305175781
2017-03-18,44.48,45.24,30.63,34.0,2112492.29,,,
2017-03-19,34.0,45.55,33.4,43.12,1656354.27,,,
2017-03-20,43.12,45.51,40.93,42.51,832582.16,2373.469970703125,1233.5999755859375,100.41000366210938
2017-03-21,42.51,43.8,41.68,42.67,484366.03,2344.02001953125,1246.0999755859375,99.80999755859375
2017-03-22,42.67,42.94,38.56,41.65,608057.78,2348.449951171875,1249.300048828125,99.68000030517578
2017-03-23,41.65,44.26,40.59,43.2,563076.3,2345.9599609375,1246.9000244140625,99.76000213623047
2017-03-24,43.2,53.74,42.77,53.19,1528088.17,2343.97998046875,1248.199951171875,99.62999725341797
2017-03-25,53.12,55.7,48.48,50.74,2259345.67,,,
2017-03-26,50.74,52.66,46.76,50.59,1337177.59,,,
2017-03-27,50.59,55.76,47.66,49.04,1198138.72,2341.590087890625,1255.4000244140625,99.16999816894531
2017-03-28,49.04,52.58,47.71,50.36,936872.63,2358.570068359375,1255.300048828125,99.70999908447266
2017-03-29,50.25,53.97,50.08,53.07,735947.3,2361.1298828125,1253.4000244140625,100.0
2017-03-30,53.07,53.63,51.36,51.91,410830.36,2368.06005859375,1245.0,100.41000366210938
2017-03-31,51.91,52.22,46.83,49.91,754720.51,2362.719970703125,1247.300048828125,100.3499984741211
2017-04-01,49.57,52.7,47.7,50.27,911358.56,,,
2017-04-02,50.27,51.93,40.09,47.92,1402855.51,,,
2017-04-03,47.92,50.44,42.39,43.89,1993261.33,2358.840087890625,1250.800048828125,100.54000091552734
2017-04-04,43.89,46.33,40.52,44.31,1768504.23,2360.159912109375,1255.0,100.54000091552734
2017-04-05,44.31,48.45,43.57,44.83,1364875.45,2352.949951171875,1245.4000244140625,100.55999755859375
2017-04-06,44.83,47.86,40.04,43.03,1953064.61,2357.489990234375,1250.300048828125,100.66999816894531
2017-04-07,43.03,45.04,41.13,42.04,1080013.2,2355.5400390625,1254.300048828125,101.18000030517578
2017-04-08,42.04,48.97,41.66,44.24,888373.53,,,
2017-04-09,44.24,45.44,42.72,43.49,705988.29,,,
2017-04-10,43.72,44.57,42.49,43.74,212490.27,2357.159912109375,1251.0999755859375,101.0199966430664
2017-04-11,43.61,45.35,43.15,43.57,398782.81,2353.780029296875,1271.199951171875,100.70999908447266
2017-04-12,43.74,47.89,43.26,46.38,477208.91,2344.929931640625,1275.300048828125,100.77999877929688
2017-04-13,46.2,51.73,44.63,50.02,1431983.99,2328.949951171875,1285.9000244140625,100.55999755859375
2017-04-14,50.02,50.22,45.89,47.23,821341.07,,,
2017-04-15,47.23,68.88,46.26,48.88,670579.03,,,
2017-04-16,48.88,48.99,47.32,48.21,288964.04,,,
2017-04-17,48.21,49.24,46.35,47.84,416532.36,2349.010009765625,1289.4000244140625,100.30000305175781
2017-04-18,47.94,50.25,47.75,49.88,436070.52,2342.18994140625,1291.699951171875,99.5
2017-04-19,49.88,50.5,46.86,47.88,380316.93,2338.169921875,1281.4000244140625,99.73999786376953
2017-04-20,47.78,50.22,47.58,49.35,679463.44,2355.840087890625,1281.9000244140625,99.77999877929688
2017-04-21,49.35,49.94,47.79,48.35,394618.05,2348.68994140625,1287.4000244140625,99.9800033569336
2017-04-22,48.35,49.54,47.7,48.32,320051.68,,,
2017-04-23,48.41,48.92,47.91,48.75,172577.23,,,
2017-04-24,48.75,50.41,48.72,49.94,238228.15,2374.14990234375,1275.800048828125,99.08999633789062
2017-04-25,49.94,50.61,49.79,50.09,167430.9,2388.610107421875,1265.5999755859375,98.81999969482422
2017-04-26,50.09,54.61,50.01,53.28,531522.95,2387.449951171875,1262.0999755859375,98.95999908447266
2017-04-27,52.8,63.43,53.98,62.93,1752792.16,2388.77001953125,1263.699951171875,99.08000183105469
2017-04-28,62.93,73.09,62.04,71.05,2198956.7,2384.199951171875,1266.0999755859375,99.05000305175781
2017-04-29,72.42,74.03,67.62,69.83,536860.87,,,
2017-04-30,68.75,79.82,69.45,78.72,1281123.16,,,
2017-05-01,79.83,83.87,71.46,77.53,1236010.8,2388.330078125,1253.300048828125,99.13999938964844
2017-05-02,75.18,79.8,71.24,75.97,1137778.64,2391.169921875,1255.0999755859375,98.9800033569336
2017-05-03,77.25,80.96,75.4,80.37,486106.3,2388.1298828125,1246.4000244140625,99.20999908447266
2017-05-04,80.37,95.31,79.34,94.55,946431.09,2389.52001953125,1226.5,98.76000213623047
2017-05-05,93.36,94.9,85.4,89.38,1543648.23,2399.2900390625,1224.800048828125,98.6500015258789
2017-05-06,90.79,95.6,90.56,94.82,328080.12,,,
2017-05-07,94.82,96.37,62.74,90.46,535325.03,,,
2017-05-08,90.67,97.47,86.57,86.82,1249249.59,2399.3798828125,1225.300048828125,99.1500015258789
2017-05-09,86.82,91.12,67.66,85.74,2097929.63,2396.919921875,1214.300048828125,99.58999633789062
2017-05-10,85.74,92.7,83.92,86.21,792876.57,2399.6298828125,1217.300048828125,99.66999816894531
2017-05-11,87.83,90.55,85.77,88.2,369180.29,2394.43994140625,1222.699951171875,99.62000274658203
2017-05-12,88.2,90.57,83.15,85.15,430272.67,2390.89990234375,1226.199951171875,99.25
2017-05-13,85.15,88.59,81.81,87.96,215848.18,,,
2017-05-14,87.96,89.7,86.33,88.72,165043.86,,,
2017-05-15,88.72,94.3,86.75,90.32,555746.25,2402.320068359375,1228.5999755859375,98.91000366210938
2017-05-16,90.32,92.18,85.68,87.8,439109.0,2400.669921875,1235.0,98.11000061035156
2017-05-17,87.8,89.4,81.99,86.98,461291.81,2357.030029296875,1257.5,97.41999816894531
2017-05-18,86.98,96.1,86.69,95.88,495291.26,2365.719970703125,1251.699951171875,97.87999725341797
2017-05-19,95.88,129.47,95.73,124.38,1156200.73,2381.72998046875,1252.699951171875,97.1500015258789
2017-05-20,124.1,133.73,119.8,121.94,1078076.66,,,
2017-05-21,123.06,148.6,121.72,148.0,813099.29,,,
2017-05-22,148.0,181.46,133.38,160.39,1695380.88,2394.02001953125,1260.699951171875,96.9800033569336
2017-05-23,160.39,176.04,155.06,169.5,697270.37,2398.419921875,1254.800048828125,97.3499984741211
2017-05-24,169.5,201.15,167.81,193.03,940067.51,2404.389892578125,1252.4000244140625,97.23999786376953
2017-05-25,193.03,216.1,160.86,177.33,1244603.0,2415.070068359375,1255.800048828125,97.25
2017-05-26,177.33,197.67,141.56,162.83,1057854.77,2415.820068359375,1267.5999755859375,97.4000015258789
2017-05-27,162.83,169.62,114.17,156.63,1551930.38,,,
2017-05-28,156.51,182.36,156.51,172.86,765913.66,,,
2017-05-29,172.86,197.74,165.36,194.17,649778.58,,,
